ID,Frame ID,Timecourse ID,Stomat ID,Genotype,Treatment,Total Fluorescence
1,a,0,1,o,Treatment_P,473797.5425
1,a,10,1,o,Treatment_P,351362.785
1,a,20,1,o,Treatment_P,524741.24
1,a,30,1,o,Treatment_P,465629.795
2,a,0,2,o,Treatment_P,449927.3278
2,a,10,2,o,Treatment_P,624140.5655
2,a,20,2,o,Treatment_P,889493.492
2,a,30,2,o,Treatment_P,795262.2485
3,a,0,3,o,Treatment_P,413732.3711
3,a,10,3,o,Treatment_P,759571.5715
3,a,20,3,o,Treatment_P,1116518.968
3,a,30,3,o,Treatment_P,1103614.226
4,a,0,4,o,Treatment_P,978935.4908
4,a,10,4,o,Treatment_P,816415.0115
4,a,20,4,o,Treatment_P,1048119.636
4,a,30,4,o,Treatment_P,1008226.651
5,a,0,5,o,Treatment_P,766803.8341
5,a,10,5,o,Treatment_P,1117899.233
5,a,20,5,o,Treatment_P,1299271.878
5,a,30,5,o,Treatment_P,1603431.868
6,a,0,6,o,Treatment_P,376465.959
6,a,10,6,o,Treatment_P,596057.078
6,a,20,6,o,Treatment_P,723758.792
6,a,30,6,o,Treatment_P,855012.586
7,a,0,7,o,Treatment_P,504560.5581
7,a,10,7,o,Treatment_P,702545.4413
7,a,20,7,o,Treatment_P,788115.99
7,a,30,7,o,Treatment_P,982324.7638
8,a,0,8,o,Treatment_P,304002.5581
8,a,10,8,o,Treatment_P,381829.4413
8,a,20,8,o,Treatment_P,406579.99
8,a,30,8,o,Treatment_P,542513.7638
9,b,0,1,o,Treatment_P,362456.4376
9,b,10,1,o,Treatment_P,414575.578
9,b,20,1,o,Treatment_P,352078.9954
9,b,30,1,o,Treatment_P,661181.7754
10,b,0,2,o,Treatment_P,894795.6
10,b,10,2,o,Treatment_P,686675
10,b,20,2,o,Treatment_P,710976.9
10,b,30,2,o,Treatment_P,1081702.9
11,b,0,3,o,Treatment_P,296454.8888
11,b,10,3,o,Treatment_P,326076.014
11,b,20,3,o,Treatment_P,267325.9902
11,b,30,3,o,Treatment_P,473312.1302
12,b,0,4,o,Treatment_P,334628.6112
12,b,10,4,o,Treatment_P,531000.236
12,b,20,4,o,Treatment_P,658996.6348
12,b,30,4,o,Treatment_P,815057.9948
13,b,0,5,o,Treatment_P,76187.2808
13,b,10,5,o,Treatment_P,239740.774
13,b,20,5,o,Treatment_P,566476.9582
13,b,30,5,o,Treatment_P,683438.6982
14,c,0,1,o,Treatment_P,145026.1625
14,c,10,1,o,Treatment_P,188337.88
